Batch Directory Path Name                                     	Isotope	Src	Park	Mode	AR	CntLim								
========================================================	=======	===	====	====	==	======								
C:\Users\ams254\Documents\Results\USAMS061821R.txt	14C	SNICS	0	nrm	no	100								
														
Run Completion Time       	Pos	Meas	Sample Name	Num	Cycles	le12C      	le13C      	he12C      	he13C      	CntTotH	CntTotS	CntTotGT	13/12he    	14/12he    
========================	===	====	===========	===	======	===========	===========	===========	===========	=======	=======	========	===========	===========
Fri Jun 25 14:42:02 2021	27	9	C-1_15mg	B	  900.687170	-4.547085E-6	-3.096917E-8	 6.520938E-6	 7.026030E-8	9007	9007	36	 1.077457E-2	2.945793E-14
Fri Jun 25 14:43:35 2021	27	10	C-1_15mg	B	  900.763371	-4.485207E-6	-3.486807E-8	 6.408434E-6	 6.910801E-8	9008	9008	33	 1.078392E-2	2.747483E-14
Fri Jun 25 14:55:19 2021	28	1	TIRI-I_8mg	U	  901.014688	-2.766635E-6	-9.977406E-9	 3.903335E-6	 4.151678E-8	9010	9010	182	 1.063623E-2	2.487067E-13
Fri Jun 25 14:56:52 2021	28	2	TIRI-I_8mg	U	  900.827068	-2.827452E-6	-1.308853E-8	 3.995211E-6	 4.255847E-8	9008	9008	171	 1.065237E-2	2.283488E-13
Fri Jun 25 14:58:25 2021	28	3	TIRI-I_8mg	U	  900.747795	-2.844861E-6	-1.288144E-8	 3.995946E-6	 4.267605E-8	9007	9007	173	 1.067983E-2	2.309974E-13
Fri Jun 25 14:59:58 2021	28	4	TIRI-I_8mg	U	  900.730381	-2.807825E-6	-1.412752E-8	 3.946598E-6	 4.214390E-8	9007	9007	184	 1.067854E-2	2.487619E-13
Fri Jun 25 15:01:31 2021	28	5	TIRI-I_8mg	U	  900.608367	-2.746250E-6	-3.316297E-9	 3.854913E-6	 4.121036E-8	9006	9006	177	 1.069035E-2	2.450228E-13
Fri Jun 25 15:03:05 2021	28	6	TIRI-I_8mg	U	  900.830278	-2.692758E-6	-8.775464E-9	 3.777539E-6	 4.022199E-8	9008	9008	185	 1.064767E-2	2.612785E-13
Fri Jun 25 15:04:38 2021	28	7	TIRI-I_8mg	U	  900.610820	-2.631578E-6	-1.449884E-8	 3.685852E-6	 3.929941E-8	9006	9006	194	 1.066223E-2	2.808733E-13
Fri Jun 25 15:06:11 2021	28	8	TIRI-I_8mg	U	  900.640467	-2.573106E-6	-1.237801E-8	 3.595042E-6	 3.827648E-8	9006	9006	157	 1.064702E-2	2.330387E-13
Fri Jun 25 15:07:44 2021	28	9	TIRI-I_8mg	U	  900.611814	-2.507942E-6	-1.195314E-8	 3.500987E-6	 3.729720E-8	9006	9006	164	 1.065334E-2	2.499767E-13
Fri Jun 25 15:09:17 2021	28	10	TIRI-I_8mg	U	  900.231908	-2.457447E-6	-1.020875E-8	 3.414085E-6	 3.633583E-8	9002	9002	153	 1.064292E-2	2.392470E-13
Fri Jun 25 15:20:34 2021	29	1	NOSAMS2_15mg	U	  901.038699	-3.248686E-6	-1.756327E-8	 4.647271E-6	 5.007245E-8	9010	9010	830	 1.077459E-2	9.526216E-13
Fri Jun 25 15:22:45 2021	29	2	NOSAMS2_15mg	U	  900.662007	-3.657863E-6	-2.235376E-8	 5.215824E-6	 5.616312E-8	9007	9007	951	 1.076783E-2	9.729253E-13
Fri Jun 25 15:24:18 2021	29	3	NOSAMS2_15mg	U	  900.840111	-3.619688E-6	-2.087561E-8	 5.153170E-6	 5.552099E-8	9008	9008	873	 1.077414E-2	9.038072E-13
Fri Jun 25 15:25:51 2021	29	4	NOSAMS2_15mg	U	  900.838780	-3.551318E-6	-2.331063E-8	 5.069749E-6	 5.455927E-8	9008	9008	875	 1.076173E-2	9.207851E-13
Fri Jun 25 15:27:24 2021	29	5	NOSAMS2_15mg	U	  900.848311	-3.495337E-6	-2.341417E-8	 4.978547E-6	 5.370533E-8	9008	9008	868	 1.078735E-2	9.301420E-13
Fri Jun 25 15:28:57 2021	29	6	NOSAMS2_15mg	U	  900.814505	-3.421790E-6	-1.695529E-8	 4.884470E-6	 5.263107E-8	9008	9008	819	 1.077519E-2	8.945711E-13
Fri Jun 25 15:30:30 2021	29	7	NOSAMS2_15mg	U	  900.637235	-3.362200E-6	-2.139332E-8	 4.780035E-6	 5.155742E-8	9006	9006	764	 1.078599E-2	8.528962E-13
Fri Jun 25 15:32:03 2021	29	8	NOSAMS2_15mg	U	  900.718690	-3.300753E-6	-2.265010E-8	 4.680474E-6	 5.057949E-8	9007	9007	840	 1.080649E-2	9.575998E-13
Fri Jun 25 15:33:36 2021	29	9	NOSAMS2_15mg	U	  900.477225	-3.227956E-6	-1.592701E-8	 4.580342E-6	 4.959311E-8	9005	9005	791	 1.082738E-2	9.217001E-13
Fri Jun 25 15:35:09 2021	29	10	NOSAMS2_15mg	U	  900.560610	-3.164177E-6	-1.257439E-8	 4.481564E-6	 4.857905E-8	9006	9006	724	 1.083975E-2	8.621439E-13
Fri Jun 25 15:50:59 2021	30	1	LiveGas_23	S	  900.629510	-4.443636E-6	-4.482239E-8	 6.325501E-6	 6.736106E-8	9006	9006	1205	 1.064913E-2	1.016552E-12
Fri Jun 25 15:52:32 2021	30	2	LiveGas_23	S	  900.822729	-4.739713E-6	-5.154191E-8	 6.749250E-6	 7.186026E-8	9008	9008	1246	 1.064715E-2	9.849336E-13
Fri Jun 25 15:54:05 2021	30	3	LiveGas_23	S	  900.748339	-4.748311E-6	-5.421616E-8	 6.760402E-6	 7.193958E-8	9007	9007	1198	 1.064132E-2	9.455066E-13
Fri Jun 25 15:55:39 2021	30	4	LiveGas_23	S	  900.766859	-4.718362E-6	-5.539796E-8	 6.714026E-6	 7.156345E-8	9008	9008	1154	 1.065880E-2	9.170524E-13
Fri Jun 25 15:57:12 2021	30	5	LiveGas_23	S	  900.518532	-4.690556E-6	-5.545509E-8	 6.667795E-6	 7.097213E-8	9005	9005	1173	 1.064402E-2	9.388731E-13
